fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2022-10-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
a1.net;securemail.a1.net:587,bsmtp.a1.net:587,forschung.a1.net:587;%EMAILADDRESS%
12fuel.dk;mail.telenor.dk:587;%EMAILADDRESS%
12move.dk;mail.telenor.dk:587;%EMAILADDRESS%
2die4.com;smtp.mail.com:465;%EMAILADDRESS%
12mail.dk;mail.telenor.dk:587;%EMAILADDRESS%
2senior.dk;mail.telenor.dk:587;%EMAILADDRESS%
126.com;smtp.126.com:465;%EMAILADDRESS%
163.com;smtp.163.com:465,mx.qiye.163.com:587,factory.163.com:465;%EMAILADDRESS%
aim.com;smtp.aol.com:465;%EMAILADDRESS%
amail.plala.or.jp;amail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
accountant.com;smtp.mail.com:465;%EMAILADDRESS%
abc.plala.or.jp;abc.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
active24.com;email.active24.com:465,email03.active24.com:465;%EMAILADDRESS%
africamail.com;smtp.mail.com:465;%EMAILADDRESS%
1031.inord.dk;mail.telenor.dk:587;%EMAILADDRESS%
allergist.com;smtp.mail.com:465;%EMAILADDRESS%
aircraftmail.com;smtp.mail.com:465;%EMAILADDRESS%
amber.plala.or.jp;amber.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
activist.com;smtp.mail.com:465;%EMAILADDRESS%
ameritech.net;outbound.att.net:465;%EMAILADDRESS%
alaska.usa.com;smtp.mail.com:465;%EMAILADDRESS%
alice.it;out.alice.it:587;%EMAILADDRESS%
adexec.com;smtp.mail.com:465;%EMAILADDRESS%
amethyst.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
amorous.com;smtp.mail.com:465;%EMAILADDRESS%
agate.plala.or.jp;agate.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
aol.co.uk;smtp.aol.com:465;%EMAILADDRESS%
alabama.usa.com;smtp.mail.com:465;%EMAILADDRESS%
anderledes.dk;mail.telenor.dk:587;%EMAILADDRESS%
angelic.com;smtp.mail.com:465;%EMAILADDRESS%
aol.co.nz;smtp.aol.com:465;%EMAILADDRESS%
americamail.com;smtp.mail.com:465;%EMAILADDRESS%
